pool_size,take_up,years,initial_capital_mult,subsidy_fraction_of_premium,subsidy_per_enrollee,member_contribution,initial_capital,psi,mc_se,mean_terminal_surplus,p05_terminal_surplus,income_per_enrollee
5000,Random,1,0.1,2.25,60552.52979351806,8571.47462433637,34562002.20892721,0.0,0.0,240241863.8678322,225482705.8203503,69124.00441785442
5000,Random,1,0.1,2.3,61898.141566707345,8571.47462433637,35234808.09552186,0.0,0.0,246969922.73377872,232210764.68629682,70469.61619104372
5000,Random,1,0.1,2.35,63243.75333989664,8571.47462433637,35907613.982116506,0.0,0.0,253697981.5997251,238938823.55224323,71815.22796423301
5000,Random,1,0.1,2.4,64589.36511308593,8571.47462433637,36580419.86871115,0.0,0.0,260426040.4656717,245666882.41818976,73160.8397374223
5000,Random,1,0.1,2.45,65934.97688627522,8571.47462433637,37253225.755305804,0.0,0.0,267154099.33161816,252394941.2841363,74506.4515106116
5000,Random,1,0.1,2.5,67280.58865946451,8571.47462433637,37926031.641900435,0.0,0.0,273882158.1975645,259123000.1500826,75852.06328380088
5000,Random,1,0.25,0.0,0.0,8571.47462433637,10714343.280420462,1.0,0.0,-56092179.13150579,-70851337.17898767,8571.47462433637
5000,Random,1,0.25,0.05,1345.6117731892903,8571.47462433637,12396357.996907074,1.0,0.0,-48354911.43566736,-63114069.483149245,9917.08639752566
5000,Random,1,0.25,0.1,2691.2235463785805,8571.47462433637,14078372.713393686,1.0,0.0,-40617643.739828944,-55376801.78731083,11262.69817071495
5000,Random,1,0.25,0.15,4036.8353195678706,8571.47462433637,15760387.4298803,1.0,0.0,-32880376.043990515,-47639534.0914724,12608.30994390424
5000,Random,1,0.25,0.2,5382.447092757161,8571.47462433637,17442402.146366913,0.9998,0.0001414072133945005,-25143108.348152112,-39902266.395633996,13953.92171709353
5000,Random,1,0.25,0.25,6728.058865946451,8571.47462433637,19124416.862853527,0.9883,0.00107531902243009,-17405840.65231368,-32164998.699795563,15299.533490282822
5000,Random,1,0.25,0.3,8073.670639135741,8571.47462433637,20806431.579340138,0.8733,0.003326366035180134,-9668572.956475267,-24427731.003957156,16645.14526347211
5000,Random,1,0.25,0.35,9419.28241232503,8571.47462433637,22488446.29582675,0.5619,0.004961535951698829,-1931305.260636846,-16690463.308118733,17990.7570366614
5000,Random,1,0.25,0.4,10764.894185514322,8571.47462433637,24170461.012313362,0.2469,0.004312080588300734,5805962.43520156,-8953195.612280326,19336.36880985069
5000,Random,1,0.25,0.45,12110.505958703612,8571.47462433637,25852475.728799976,0.0629,0.002427830101139699,13543230.131039996,-1215927.9164418904,20681.980583039982
5000,Random,1,0.25,0.5,13456.117731892902,8571.47462433637,27534490.44528659,0.0099,0.0009900499987374374,21280497.826878406,6521339.779396516,22027.592356229274
5000,Random,1,0.25,0.55,14801.729505082194,8571.47462433637,29216505.1617732,0.0016,0.0003996798718974975,29017765.52271681,14258607.475234924,23373.204129418562
5000,Random,1,0.25,0.6,16147.341278271482,8571.47462433637,30898519.87825981,0.0,0.0,36755033.218555234,21995875.171073344,24718.81590260785
5000,Random,1,0.25,0.65,17492.953051460772,8571.47462433637,32580534.594746426,0.0,0.0,44492300.914393656,29733142.866911765,26064.427675797142
5000,Random,1,0.25,0.7,18838.56482465006,8571.47462433637,34262549.311233036,0.0,0.0,52229568.61023208,37470410.56275019,27410.03944898643
5000,Random,1,0.25,0.75,20184.176597839352,8571.47462433637,35944564.027719654,0.0,0.0,59966836.3060705,45207678.25858861,28755.651222175722
5000,Random,1,0.25,0.8,21529.788371028644,8571.47462433637,37626578.744206265,0.0,0.0,67704104.00190888,52944945.954427004,30101.262995365014
5000,Random,1,0.25,0.85,22875.400144217932,8571.47462433637,39308593.460692875,0.0,0.0,75441371.69774733,60682213.650265455,31446.874768554302
5000,Random,1,0.25,0.9,24221.011917407224,8571.47462433637,40990608.17717949,0.0,0.0,83178639.39358577,68419481.34610388,32792.486541743594
5000,Random,1,0.25,0.95,25566.623690596512,8571.47462433637,42672622.8936661,0.0,0.0,90915907.08942418,76156749.0419423,34138.09831493288
5000,Random,1,0.25,1.0,26912.235463785804,8571.47462433637,44354637.610152714,0.0,0.0,98653174.78526257,83894016.73778069,35483.71008812217
5000,Random,1,0.25,1.05,28257.847236975096,8571.47462433637,46036652.32663933,0.0,0.0,106390442.48110102,91631284.43361914,36829.321861311466
5000,Random,1,0.25,1.1,29603.459010164388,8571.47462433637,47718667.04312595,0.0,0.0,114127710.17693947,99368552.1294576,38174.93363450076
5000,Random,1,0.25,1.15,30949.070783353673,8571.47462433637,49400681.75961255,0.0,0.0,121864977.87277783,107105819.82529595,39520.54540769004
5000,Random,1,0.25,1.2,32294.682556542964,8571.47462433637,51082696.47609917,0.0,0.0,129602245.56861626,114843087.52113438,40866.15718087934
5000,Random,1,0.25,1.25,33640.294329732256,8571.47462433637,52764711.19258578,0.0,0.0,137339513.26445472,122580355.21697283,42211.768954068626
5000,Random,1,0.25,1.3,34985.906102921545,8571.47462433637,54446725.90907239,0.0,0.0,145076780.9602931,130317622.91281122,43557.380727257914
5000,Random,1,0.25,1.35,36331.51787611084,8571.47462433637,56128740.62555901,0.0,0.0,152814048.65613154,138054890.60864964,44902.99250044721
5000,Random,1,0.25,1.4,37677.12964930012,8571.47462433637,57810755.34204561,0.0,0.0,160551316.35196993,145792158.30448803,46248.60427363649
5000,Random,1,0.25,1.45,39022.74142248942,8571.47462433637,59492770.05853223,0.0,0.0,168288584.04780835,153529426.00032645,47594.216046825786
5000,Random,1,0.25,1.5,40368.353195678705,8571.47462433637,61174784.77501884,0.0,0.0,176025851.74364677,161266693.6961649,48939.827820015074
5000,Random,1,0.25,1.55,41713.964968868,8571.47462433637,62856799.49150546,0.0,0.0,183763119.4394852,169003961.3920033,50285.43959320437
5000,Random,1,0.25,1.6,43059.57674205729,8571.47462433637,64538814.20799207,0.0,0.0,191500387.13532364,176741229.08784175,51631.05136639366
5000,Random,1,0.25,1.65,44405.18851524658,8571.47462433637,66220828.92447868,0.0,0.0,199237654.831162,184478496.78368014,52976.663139582946
5000,Random,1,0.25,1.7,45750.800288435865,8571.47462433637,67902843.6409653,0.0,0.0,206974922.5270005,192215764.4795186,54322.274912772235
5000,Random,1,0.25,1.75,47096.41206162516,8571.47462433637,69584858.35745192,0.0,0.0,214712190.2228389,199953032.17535704,55667.88668596153
5000,Random,1,0.25,1.8,48442.02383481445,8571.47462433637,71266873.07393852,0.0,0.0,222449457.91867724,207690299.87119538,57013.49845915082
5000,Random,1,0.25,1.85,49787.635608003744,8571.47462433637,72948887.79042514,0.0,0.0,230186725.61451572,215427567.56703383,58359.110232340114
5000,Random,1,0.25,1.9,51133.247381193025,8571.47462433637,74630902.50691174,0.0,0.0,237923993.3103541,223164835.26287222,59704.722005529395
5000,Random,1,0.25,1.95,52478.85915438232,8571.47462433637,76312917.22339836,0.0,0.0,245661261.00619248,230902102.9587106,61050.33377871869
5000,Random,1,0.25,2.0,53824.47092757161,8571.47462433637,77994931.93988498,0.0,0.0,253398528.70203096,238639370.65454906,62395.94555190798
5000,Random,1,0.25,2.05,55170.0827007609,8571.47462433637,79676946.65637158,0.0,0.0,261135796.39786944,246376638.3503875,63741.55732509727
5000,Random,1,0.25,2.1,56515.69447395019,8571.47462433637,81358961.3728582,0.0,0.0,268873064.0937078,254113906.04622597,65087.16909828656
5000,Random,1,0.25,2.15,57861.30624713947,8571.47462433637,83040976.0893448,0.0,0.0,276610331.7895462,261851173.7420643,66432.78087147584
5000,Random,1,0.25,2.2,59206.918020328776,8571.47462433637,84722990.80583143,0.0,0.0,284347599.48538464,269588441.4379028,67778.39264466515
5000,Random,1,0.25,2.25,60552.52979351806,8571.47462433637,86405005.52231802,0.0,0.0,292084867.181223,277325709.1337411,69124.00441785442
5000,Random,1,0.25,2.3,61898.141566707345,8571.47462433637,88087020.23880465,0.0,0.0,299822134.87706155,285062976.8295796,70469.61619104372
5000,Random,1,0.25,2.35,63243.75333989664,8571.47462433637,89769034.95529126,0.0,0.0,307559402.5728999,292800244.525418,71815.22796423301
5000,Random,1,0.25,2.4,64589.36511308593,8571.47462433637,91451049.67177787,0.0,0.0,315296670.26873827,300537512.22125643,73160.8397374223
5000,Random,1,0.25,2.45,65934.97688627522,8571.47462433637,93133064.3882645,0.0,0.0,323033937.96457684,308274779.917095,74506.4515106116
5000,Random,1,0.25,2.5,67280.58865946451,8571.47462433637,94815079.1047511,0.0,0.0,330771205.6604151,316012047.6129333,75852.06328380088
5000,Random,1,0.5,0.0,0.0,8571.47462433637,21428686.560840923,1.0,0.0,-45377835.85108531,-60136993.8985672,8571.47462433637
5000,Random,1,0.5,0.05,1345.6117731892903,8571.47462433637,24792715.993814148,1.0,0.0,-35958553.43876029,-50717711.486242175,9917.08639752566
5000,Random,1,0.5,0.1,2691.2235463785805,8571.47462433637,28156745.426787373,1.0,0.0,-26539271.026435267,-41298429.07391715,11262.69817071495
5000,Random,1,0.5,0.15,4036.8353195678706,8571.47462433637,31520774.8597606,0.9871,0.0011284320980900898,-17119988.614110228,-31879146.661592115,12608.30994390424
5000,Random,1,0.5,0.2,5382.447092757161,8571.47462433637,34884804.292733826,0.8108,0.003916674099283728,-7700706.201785186,-22459864.249267075,13953.92171709353
5000,Random,1,0.5,0.25,6728.058865946451,8571.47462433637,38248833.725707054,0.4074,0.004913504248497196,1718576.2105398525,-13040581.836942034,15299.533490282822
5000,Random,1,0.5,0.3,8073.670639135741,8571.47462433637,41612863.158680275,0.0966,0.0029541232201788737,11137858.622864863,-3621299.424617025,16645.14526347211
5000,Random,1,0.5,0.35,9419.28241232503,8571.47462433637,44976892.5916535,0.0125,0.0011110243021644486,20557141.035189915,5797982.987708029,17990.7570366614
5000,Random,1,0.5,0.4,10764.894185514322,8571.47462433637,48340922.024626724,0.0009,0.0002998649696113236,29976423.44751491,15217265.400033025,19336.36880985069
5000,Random,1,0.5,0.45,12110.505958703612,8571.47462433637,51704951.45759995,0.0,0.0,39395705.85983997,24636547.812358078,20681.980583039982
5000,Random,1,0.5,0.5,13456.117731892902,8571.47462433637,55068980.89057318,0.0,0.0,48814988.27216499,34055830.224683106,22027.592356229274
5000,Random,1,0.5,0.55,14801.729505082194,8571.47462433637,58433010.3235464,0.0,0.0,58234270.68449002,43475112.63700813,23373.204129418562
5000,Random,1,0.5,0.6,16147.341278271482,8571.47462433637,61797039.75651962,0.0,0.0,67653553.09681503,52894395.049333155,24718.81590260785
5000,Random,1,0.5,0.65,17492.953051460772,8571.47462433637,65161069.18949285,0.0,0.0,77072835.50914006,62313677.46165818,26064.427675797142
5000,Random,1,0.5,0.7,18838.56482465006,8571.47462433637,68525098.62246607,0.0,0.0,86492117.92146508,71732959.8739832,27410.03944898643
