measure,cum_pop_share,cum_che_share
Capacity to pay >= 40%,0.715,0.8449525409106993
Capacity to pay >= 40%,0.72,0.8449525409106993
Capacity to pay >= 40%,0.725,0.8484604061433472
Capacity to pay >= 40%,0.73,0.8496786001149566
Capacity to pay >= 40%,0.735,0.8505419513768686
Capacity to pay >= 40%,0.74,0.8524800677395605
Capacity to pay >= 40%,0.745,0.8587794888872923
Capacity to pay >= 40%,0.75,0.8643344349136959
Capacity to pay >= 40%,0.755,0.8680424034842971
Capacity to pay >= 40%,0.76,0.869625015640749
Capacity to pay >= 40%,0.765,0.8714934317420698
Capacity to pay >= 40%,0.77,0.8835125309085466
Capacity to pay >= 40%,0.775,0.8907339969795461
Capacity to pay >= 40%,0.78,0.8909488037580711
Capacity to pay >= 40%,0.785,0.8917438325519241
Capacity to pay >= 40%,0.79,0.8931472139272606
Capacity to pay >= 40%,0.795,0.8993447213777186
Capacity to pay >= 40%,0.8,0.899498371495673
Capacity to pay >= 40%,0.805,0.901880330225963
Capacity to pay >= 40%,0.81,0.9059498131582627
Capacity to pay >= 40%,0.8150000000000001,0.9137125903876525
Capacity to pay >= 40%,0.8200000000000001,0.920006395599672
Capacity to pay >= 40%,0.8250000000000001,0.9204502302437644
Capacity to pay >= 40%,0.8300000000000001,0.9207578459025331
Capacity to pay >= 40%,0.835,0.9214913192921974
Capacity to pay >= 40%,0.84,0.9235956352901012
Capacity to pay >= 40%,0.845,0.9278002045124998
Capacity to pay >= 40%,0.85,0.9289971804242113
Capacity to pay >= 40%,0.855,0.9305910677772431
Capacity to pay >= 40%,0.86,0.9344244236080664
Capacity to pay >= 40%,0.865,0.9344244236080664
Capacity to pay >= 40%,0.87,0.9347022000450838
Capacity to pay >= 40%,0.875,0.9378799689055918
Capacity to pay >= 40%,0.88,0.9483822274662618
Capacity to pay >= 40%,0.885,0.9512649372671739
Capacity to pay >= 40%,0.89,0.9515423395770932
Capacity to pay >= 40%,0.895,0.9515423395770932
Capacity to pay >= 40%,0.9,0.9532757843723088
Capacity to pay >= 40%,0.905,0.9573984462865043
Capacity to pay >= 40%,0.91,0.9573984462865043
Capacity to pay >= 40%,0.915,0.9591942628908109
Capacity to pay >= 40%,0.92,0.9597085938528718
Capacity to pay >= 40%,0.925,0.9639903007197189
Capacity to pay >= 40%,0.93,0.9668173095958212
Capacity to pay >= 40%,0.935,0.9673854581875415
Capacity to pay >= 40%,0.9400000000000001,0.9696736912335504
Capacity to pay >= 40%,0.9450000000000001,0.9722079114860207
Capacity to pay >= 40%,0.9500000000000001,0.973913602554786
Capacity to pay >= 40%,0.9550000000000001,0.9748248232471456
Capacity to pay >= 40%,0.96,0.978376861084243
Capacity to pay >= 40%,0.965,0.978376861084243
Capacity to pay >= 40%,0.97,0.9805189304645221
Capacity to pay >= 40%,0.975,0.9812816269207454
Capacity to pay >= 40%,0.98,0.9812816269207454
Capacity to pay >= 40%,0.985,0.9818287150541015
Capacity to pay >= 40%,0.99,0.988494062989856
Capacity to pay >= 40%,0.995,0.9952827566013461
Capacity to pay >= 40%,1.0,0.9999999999999992
