group,estimate,se,ci_low,ci_high,n,wtd_n,scenario,measure,estimate_pct,ci_low_pct,ci_high_pct
Q1 (poorest),0.4148385748327095,0.031439119555166976,0.3532190327989333,0.47645811686648565,700,42275561.8270552,"Informal sector, full coverage","CHE, CTP >= 40%",41.483857483270945,35.32190327989333,47.645811686648564
Q2,0.16904778099199752,0.02373862379338306,0.12252093331442113,0.21557462866957391,707,42250411.20141057,"Informal sector, full coverage","CHE, CTP >= 40%",16.904778099199753,12.252093331442113,21.55746286695739
Q3,0.060821690508702266,0.00993085669117073,0.04135756905837902,0.08028581195902551,834,42327655.09285391,"Informal sector, full coverage","CHE, CTP >= 40%",6.082169050870227,4.135756905837902,8.02858119590255
Q4,0.03838131304329963,0.009441726483386311,0.01987586918398444,0.05688675690261481,1016,42290878.59413037,"Informal sector, full coverage","CHE, CTP >= 40%",3.8381313043299627,1.987586918398444,5.688675690261482
Q5 (richest),0.016619194362132148,0.004123929832915017,0.008536440414848433,0.024701948309415862,1428,42285095.91731937,"Informal sector, full coverage","CHE, CTP >= 40%",1.6619194362132148,0.8536440414848433,2.4701948309415864
Q1 (poorest),0.037548378639365464,0.009592105099556367,0.018748198108311995,0.056348559170418935,700,42275561.8270552,"Informal sector, full coverage, no contribution",CHE > 10%,3.7548378639365465,1.8748198108311995,5.634855917041894
Q2,0.04463316733577742,0.011416749545933315,0.02225674940523411,0.06700958526632073,707,42250411.20141057,"Informal sector, full coverage, no contribution",CHE > 10%,4.463316733577742,2.225674940523411,6.700958526632073
Q3,0.03863289119045232,0.009036474649565963,0.02092172633009383,0.05634405605081082,834,42327655.09285391,"Informal sector, full coverage, no contribution",CHE > 10%,3.8632891190452323,2.092172633009383,5.634405605081081
Q4,0.06531804019116123,0.012626572426844087,0.04057041298636031,0.09006566739596215,1016,42290878.59413037,"Informal sector, full coverage, no contribution",CHE > 10%,6.531804019116123,4.057041298636031,9.006566739596215
Q5 (richest),0.07211681782728475,0.011864111726079277,0.04886358613561004,0.09537004951895947,1428,42285095.91731937,"Informal sector, full coverage, no contribution",CHE > 10%,7.211681782728475,4.886358613561004,9.537004951895947
Q1 (poorest),0.0422123398195739,0.008756680513351224,0.025049561389281792,0.059375118249866014,700,42275561.8270552,"Informal sector, full coverage, no contribution","CHE, CTP >= 40%",4.221233981957391,2.504956138928179,5.9375118249866015
Q2,0.0473103436386859,0.01324146100886007,0.021357556958628753,0.07326313031874304,707,42250411.20141057,"Informal sector, full coverage, no contribution","CHE, CTP >= 40%",4.73103436386859,2.1357556958628754,7.326313031874304
Q3,0.030988664432422677,0.007903524293079743,0.015498041467048989,0.046479287397796366,834,42327655.09285391,"Informal sector, full coverage, no contribution","CHE, CTP >= 40%",3.0988664432422675,1.5498041467048989,4.647928739779637
Q4,0.030125259311840652,0.009185153501550074,0.012122689256330539,0.048127829367350765,1016,42290878.59413037,"Informal sector, full coverage, no contribution","CHE, CTP >= 40%",3.012525931184065,1.2122689256330539,4.8127829367350765
