replicate,che10_pct,che_ctp40_pct,pure_premium,gross_premium,affordable_contribution,expected_claim_random,min_subsidy_random,expected_claim_adverse,min_subsidy_adverse
103,14.273372658815001,5.880308305813617,18039.156044499934,22892.81826478186,10667.230975222194,18056.30376627068,10385.084751422437,37058.459981392225,32264.632193968173
104,14.050116238703206,6.0708966897788,18558.566754442312,23542.95270145023,10663.225745311509,18530.251419515887,10884.376488093476,36193.65379977621,31147.306402171816
105,14.849238030584901,6.982250338600565,19350.638707967886,24550.09128322936,10699.315530241418,18984.2833144479,11388.518095675676,35793.412253912225,30752.087810340818
106,12.294608242537079,5.353833686535439,18533.39097988467,23512.01633750282,10644.956650076478,18628.5845637776,11024.770330923804,36022.39622204682,31077.6413915261
107,14.371376512812992,7.439919688321899,18725.059014226015,23762.00837684037,10659.33845145419,18158.12894706591,10427.746709570853,36082.69103086681,30899.740102831907
108,13.829447633186549,7.406576731578092,19579.893098354052,24836.878854851802,10577.254139857829,19154.253629488336,11689.90751602361,37027.500019103056,32201.914929723014
109,14.80644546612632,6.474404660625164,19498.122247664513,24736.078780069627,10721.965357669882,19109.047269317718,11523.313249069604,38138.943346205706,33381.43342334371
110,13.176139950929072,5.9477735125013105,19995.19850893143,25371.165779097908,10693.131740819552,19581.07075707488,12018.657371325367,38827.70337920833,34044.0148178648
111,12.13183425489849,5.834567714459791,17999.997207441636,22841.727698224116,10652.28121588471,18325.173886399454,10708.961155678538,37270.80150833361,32498.696315333815
112,16.275200876034656,7.7869380578549485,19201.400028356256,24353.199446364866,10596.94237050526,19332.75377780808,11908.093079971191,36306.26321217231,31341.33459563418
113,14.621302158916022,6.797247045590224,19293.669288625155,24468.926272755052,10731.475638220125,19425.903505806855,11801.172408401137,37528.971519811486,32451.943776074644
114,14.34958003622772,7.127797533982057,19489.679860014196,24730.02331500821,10643.926985764956,19180.734848459604,11694.841370893377,36139.72846698493,31036.417197330546
115,14.250273415091941,6.812630280927923,20054.26499131444,25443.71347466503,10682.929653369081,19840.26859348503,12489.362244285316,38748.52867275525,34201.10411721597
116,14.31800298786497,6.021871557752625,20244.792783113924,25686.55259104497,10693.921931116354,21290.78960925246,14096.456031891621,41263.921297889596,36936.902666677546
117,14.53714999363774,5.8397530348431745,19543.433741876135,24798.97398731198,10634.908426164106,19728.9296737654,12333.746243368652,38807.995594094624,34277.3584581192
118,13.776842453494561,6.138966346898129,19127.132704348114,24265.644925395558,10648.69997167044,19054.599309561912,11432.145618914485,38238.85867216124,33417.10095197012
119,13.07283483669504,5.999393056368629,18461.064013021372,23416.950062902055,10673.211709908925,18694.644958566754,10995.104705186877,35515.1865239976,30288.841739314128
120,12.779845452916252,5.5535093848403285,18772.874987359784,23820.131549834387,10687.20220354726,18947.75384266877,11366.684272486345,39616.40987481061,35159.18811937954
121,14.55213036829556,6.8284962164920024,18840.02345131626,23905.036534628794,10627.204323889784,19152.872946999592,11640.423845038542,36624.1637963848,31721.114134133342
122,12.29888266345042,5.498935843266548,17911.98235859657,22724.26633073157,10672.63252454724,18074.91979898098,10418.127933603746,40126.705452182985,35707.20856256036
123,14.239010058617607,6.806127656631307,18209.08624670185,23098.789955584696,10647.928184099053,18348.964597359223,10629.276570073689,37500.95894475943,32414.540600858592
124,13.44180732005627,5.840833790809079,19671.61384403958,24957.614902355937,10711.06654046657,19677.754604635174,12197.263979791402,39366.83498089946,34740.5281222567
125,16.331454226393607,8.767973060261955,20443.423823809248,25947.32684353452,10680.482030708064,20045.53905859302,12727.162350594705,44276.37493245529,40581.566098434894
126,13.903131677811901,5.93502369549767,19928.31723005084,25283.880065855406,10671.929019823889,20224.276223814333,12867.574319653218,41274.226483409344,37060.585877547026
127,13.940395797642957,5.872585278753197,20049.026302298837,25435.41266062899,10688.467306732731,20514.294872477712,13247.817198770534,39338.053074986485,34710.81139572197
128,14.639381437205145,7.553802475588209,19687.00219102724,24972.765945003703,10649.342010453356,19815.101486310537,12402.073993615963,39712.990755405015,35147.57386198777
129,13.0508890622542,6.163996818471549,18867.14376216768,23938.84260357464,10679.688815584244,19042.178534563882,11444.961644309515,35556.91543206063,30312.581905650535
130,13.565073311076583,6.176385818265092,19432.902241909578,24651.07331813531,10560.133323258977,18767.71318359222,11316.012753602376,37293.87810975054,32684.8901518864
131,14.75090702412119,8.012407852578889,20184.36378975704,25607.018698150372,10599.890775421989,19964.793357788338,12661.41641683706,44135.84222898961,40347.80907242505
132,14.380410449281053,6.305208750633834,18552.028116561418,23537.829088027425,10684.383808221663,18372.997093101236,10696.589218995046,38672.763726439574,34111.68561844948
133,14.348260207738933,7.043299615344776,18923.534488857273,23998.737055635956,10578.555795926148,19057.448679671732,11486.178800726386,36879.154851294974,31903.130796713092
134,12.77734496690438,5.2009875692986,18670.14962050769,23690.47265753327,10672.14684011437,18647.22493194435,11054.784380014611,38060.251428795484,33413.11896323066
135,13.16112168752362,6.824690718907007,18182.251378055626,23064.40072181714,10638.713945539826,18120.013126273174,10441.256704404084,36445.0850483172,31321.28732299822
136,12.719208073546731,6.767938077387536,17888.509407440353,22699.891939329722,10670.677660447653,17955.280296813682,10272.915112370585,37376.331549098366,32520.789112670187
137,11.793429657577398,5.646103423545406,18068.605329240243,22934.549792705526,10678.162479222268,17878.554299222105,10125.733101430298,35603.06665128828,30421.785561989367
138,14.022349882669605,7.473025940195112,19543.857177801736,24789.160563040758,10609.557426540336,19697.24097468276,12291.78645118816,39915.79051076793,35465.49381353871
139,13.575025588026179,6.492195022818252,19256.928010968935,24431.54679690307,10602.06941935215,19891.98847482825,12614.06714090842,41355.18207423468,37043.25775173643
140,12.49313285076593,5.668536229296476,17833.186645380287,22630.336120434094,10663.119634302859,17276.562937107472,9455.296579804888,34913.62974038304,29832.80142511968
141,13.968460451571705,5.960949188217081,18649.863912867513,23661.116075378723,10652.607138190257,18916.581314826562,11361.67640395019,39913.09002358259,35425.93592545319
142,13.516185383570114,6.767223936264687,18716.70141881758,23742.90195979272,10657.085565440257,19089.196107996817,11576.298822101804,39656.568290358904,35079.96620981183
143,13.83421954783033,6.5432766951398476,19075.52434156987,24198.27376961034,10600.579770463717,19313.586543060235,11868.408153900848,40191.43105726885,35640.82692338206
144,15.099514690778129,7.00693452384569,19374.53819431713,24577.671496526287,10644.950156760236,19546.637988740637,12100.472596125204,40972.6919196346,36778.38430829998
145,14.435033008454695,7.400881688006406,18281.62786961616,23190.249157925387,10630.389114669948,18191.02340159776,10427.472485729057,36460.1707920606,31252.00112156151
146,14.105689766951151,7.920696507557127,19556.592722688387,24818.91292016369,10674.01040374156,19139.865483090944,11598.86540091438,38342.8991008975,33590.525288532546
147,17.33788083889511,8.377961305199696,21243.669107345715,26954.54592797923,10714.379673971664,21095.04337587903,13745.082217476831,42382.776451907994,38158.03853727202
148,15.680751318583258,8.052353223597894,19935.535380005887,25292.945840962966,10656.175229530418,19879.985694117186,12423.768361814691,40845.071365048236,36332.919779626696
149,15.433571439184574,7.186987845482696,19017.4260668782,24120.825461133285,10705.058861143409,19279.916628637875,11586.535979161397,36035.392371558584,30627.50365020796
150,14.238418707778159,7.680510177226671,20126.66587637114,25536.83332116903,10593.018902684073,20459.44421729266,13182.91186254596,44657.2524431996,40874.06145150043
151,13.279143004161293,6.549000459510286,18142.352920916826,23013.778841604326,10656.368305682217,18398.614552902298,10732.629147224983,34117.910349155514,28788.185615161052
152,14.351973525945604,6.8889541310013485,20104.32302903825,25506.24016846078,10699.838525058,21110.350578714453,13882.842548156623,46210.872811092566,42874.03828452581
153,16.304288288360475,8.313258426205392,19855.665667418012,25196.578630202064,10644.445350081178,20162.8761200824,12870.127867854384,40444.0336348318,36167.902841952135
154,13.935623899443032,6.9694718899647405,19164.179633866035,24314.39771226442,10644.36349766187,19375.708076542738,11945.162559807057,38953.17089657373,34487.797255134785
155,14.6322040960927,6.6732618135945625,20112.98263830027,25509.97960728102,10682.900109838614,20330.859004600534,12915.842621991593,38368.41746227487,33459.207031668906
156,15.266699709929973,7.181024421248948,19616.895545226762,24890.87895406214,10599.450658619417,19291.04128724506,11831.08539205273,37901.15827421985,33092.30165806049
157,13.951706313528062,6.43747302371487,21077.225702047857,26738.136932700476,10666.094745749237,21459.283410184424,14286.867066341838,44801.55043594129,40970.0000389122
158,15.603044868195607,7.114142529235797,20213.404256284375,25646.900633621277,10648.251847696496,20694.04113961796,13460.72333711947,41151.94164685776,36949.22896445756
159,14.687214833588339,7.449807317048481,20222.91565493536,25667.47794930232,10606.447927481518,19534.072277972205,12177.68610342635,42377.81151910206,38315.38215582002
160,11.54366857675869,5.666996458556905,18607.086336420798,23608.342038061794,10714.281629079831,18323.265237199703,10615.953006311829,37533.30052082917,32623.851023525734
161,14.668680492590195,6.630680456957585,18473.97100931156,23439.46491057114,10630.056814627345,18651.613235530152,11010.068725682473,37197.503358475755,32282.90105429823
162,13.711142775965996,6.1780545417102095,19555.57377862245,24813.49970092266,10662.289619958448,19350.952651714855,11778.731763893524,38569.47615713035,33626.82792102512
163,13.324223439895967,6.249301692158417,19060.968732298068,24182.17534868646,10627.688318435088,19864.783573436962,12489.739619020866,41371.088004601304,37122.06634078361
164,14.359443478560104,6.13256806759477,19448.191796496016,24672.88802582415,10732.633269862505,19202.99061590857,11632.844866018142,40071.01378412705,35607.73165513025
165,14.855413372632478,6.973030436784844,19565.01742817375,24829.595292685248,10685.701449114802,19212.922339467685,11660.563815568548,38493.88239214442,33755.401687383644
166,13.59976527434566,5.992095515410199,18132.829010312722,23001.297227209245,10628.704810084359,18112.833681565913,10488.277585720863,34512.0095465296,29280.73572963413
167,14.040628506637235,5.663879230167869,18730.98308821956,23769.552990336615,10674.466558484994,18624.55652206813,10943.311291317377,38929.66598188215,34191.398710644586
168,13.304738909331432,5.876968460655687,20038.74194325063,25418.049584248813,10677.626876548578,20295.456463832736,12926.120805321716,41084.32560188096,36823.1779452184
169,13.068865458056775,6.0626434670592255,20149.709948741103,25569.10607560874,10689.332040610665,19893.270803599375,12461.431944395346,39791.80347137433,35294.47924455779
170,12.430231112891137,5.8799280930414755,19122.889211092683,24271.38968700124,10671.977873944961,19288.05117306992,11827.484568830376,39874.818348632216,35517.699355527555
171,12.862582639331826,6.377243013139659,19395.30817678423,24604.711487394463,10707.454832220623,18936.73458088618,11289.908439528355,39240.75068126961,34545.830679037754
172,12.767727814178246,5.310202960746338,18185.508543906268,23075.602150900802,10673.895624154798,18117.707905748466,10471.266582333677,37544.76080896239,32804.52391446985
173,12.857600970708752,6.870333922300785,19766.005447677566,25084.39134999996,10680.99035603484,19083.79564913184,11481.038808890815,40084.89228374882,35558.09332425944
174,14.937769935266202,6.894998266516591,19997.621708046558,25364.929797125213,10726.097571215489,19845.961363891052,12254.983570158533,42158.746152273234,37722.57522685235
175,14.928419828085579,7.4307335612160745,19272.296300332608,24461.450572934387,10644.039289231861,18435.206572556184,10784.073720650576,36144.23190043231,31152.3584995534
176,13.64765197301186,6.236901232360608,19564.62821676038,24820.852158504797,10737.553914554226,19420.16692088243,11734.878407549822,37137.532244015005,32013.22543232867
177,14.375839579374514,7.277018941436938,18771.773539897426,23813.115148709418,10628.028550033125,18670.249325300058,11055.525381244352,36667.28062670023,31770.139510800538
178,11.905966530757645,4.967770131801512,18584.818751916435,23574.535918433812,10744.978598034344,19144.09718170817,11495.216282933845,40560.776473076825,36122.15191252346
179,14.053978293800192,6.51067262500901,19065.473811775777,24183.499945240204,10632.728834791504,19185.45470579624,11715.565677594099,38459.25111455616,33784.93428851843
180,13.7682871789986,6.3039108881416155,18914.572212951865,24000.700340450705,10596.61122121245,19300.37538636476,11828.258194464574,39018.30540753667,34423.39565093002
181,13.244788199224782,5.446677126727597,19141.61807010647,24284.171847374026,10625.265460277365,19647.22393250699,12223.929780906945,38363.308133960745,33555.52044752741
182,14.420226659607142,7.324196374919577,19734.762607377364,25040.22229967438,10588.698090562977,19428.817390641387,12000.442556366219,39983.7030557919,35488.232851581866
183,14.18457611555187,5.738997430745176,18915.993073752317,23994.316453613694,10682.377492909642,19607.890807833894,12122.73668676613,40392.70939844989,35984.35456558956
184,15.548724352638951,7.351639178061626,21197.176415858154,26897.293568916597,10669.027132321438,21137.92983101043,14000.596928109058,41862.26554812556,37687.31010079107
